"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2733","Deve preencher formulário de contato com sucesso","","2026-04-14","passed","2026-04-14","","Funcionalidade: contato","",""
"","985","Deve validar mensagem de erro ao preencher senha inválida","","2026-04-14","passed","2026-04-14","","Funcionalidade: login","",""
"","2944","Deve fazer login com sucesso","","2026-04-14","passed","2026-04-14","","Funcionalidade: login","",""
"","371","Deve clicar no primeiro botão adicionar à cesta","","2026-04-14","passed","2026-04-14","","Funcionalidade: catálogo de livros","",""
"","2787","Deve fazer login com sucesso com conta Admin - usando comando customizado","","2026-04-14","passed","2026-04-14","","Funcionalidade: login","",""
"","410","Deve clicar no terceiro botão adicionar à cesta","","2026-04-14","passed","2026-04-14","","Funcionalidade: catálogo de livros","",""
"","623","Deve clicar no nome do livro e direcionar para a tela do livro","","2026-04-14","passed","2026-04-14","","Funcionalidade: catálogo de livros","",""
"","4050","Deve interceptar e mockar uma requisição DELETE","","2026-04-14","passed","2026-04-14","","Funcionalidade: Interceptar e Mockar Requisições","",""
"","4606","Deve interceptar e mockar uma requisição POST","","2026-04-14","passed","2026-04-14","","Funcionalidade: Interceptar e Mockar Requisições","",""
"","2196","Deve fazer login com sucesso - usando comando customizado","","2026-04-14","passed","2026-04-14","","Funcionalidade: login","",""
"","759","Deve clicar no botão adicionar à cesta","","2026-04-14","passed","2026-04-14","","Funcionalidade: catálogo de livros","",""
"","1369","Deve validar mensagem de erro ao enviar sem preencher nome","","2026-04-14","passed","2026-04-14","","Funcionalidade: contato","",""
"","2188","Deve validar todos os livros da lista","","2026-04-14","passed","2026-04-14","","Funcionalidade busca no catálogo","",""
"","1022","Deve validar mensagem de erro ao enviar sem preencher email","","2026-04-14","passed","2026-04-14","","Funcionalidade: contato","",""
"","358","Deve clicar no último botão adicionar à cesta","","2026-04-14","passed","2026-04-14","","Funcionalidade: catálogo de livros","",""
"","1138","Deve validar mensagem de erro ao não escrever mensagem","","2026-04-14","passed","2026-04-14","","Funcionalidade: contato","",""
"","2283","Deve fazer login com sucesso - Usando importação de massa de dados","","2026-04-14","passed","2026-04-14","","Funcionalidade: login","",""
"","886","Deve validar mensagem de erro ao preencher e-mail inválido","","2026-04-14","passed","2026-04-14","","Funcionalidade: login","",""
"","1418","Deve clicar em todos os botões adicionar à cesta","","2026-04-14","passed","2026-04-14","","Funcionalidade: catálogo de livros","",""
"","3164","Deve validar mensagem ao tentar cadastrar sem preencher nome","","2026-04-14","passed","2026-04-14","","Funcionalidade: Cadastro com Page Objects","",""
"","1465","Deve validar mensagem de erro ao enviar sem selecionar assunto","","2026-04-14","passed","2026-04-14","","Funcionalidade: contato","",""
"","5141","Deve fazer login com sucesso - Usando fixture","","2026-04-14","passed","2026-04-14","","Funcionalidade: login","",""
